,i,fold,n_remove,scaler,clip,u1,d1,batch,epoch,patience,lr,precision,recall,auc,mcc
0,0,0,0,StandardScaler,3,256,0.5,4096,75,20,0.01,0.6666667,0.13333334,0.38114238,0.3013632
1,1,0,0,StandardScaler,3,256,0.5,4096,75,20,0.005,0.65,0.43333334,0.4456188,0.5425418
2,2,0,0,StandardScaler,3,256,0.5,4096,75,20,0.001,0.7058824,0.4,0.49879485,0.54024523
3,3,0,100,StandardScaler,3,256,0.5,4096,75,20,0.01,0.7692308,0.33333334,0.4522698,0.52974534
4,4,0,100,StandardScaler,3,256,0.5,4096,75,20,0.005,0.7222222,0.43333334,0.42201424,0.5654483
5,5,0,100,StandardScaler,3,256,0.5,4096,75,20,0.001,0.8125,0.43333334,0.46038216,0.59644824
6,6,0,500,StandardScaler,3,256,0.5,4096,75,20,0.01,0.71428573,0.33333334,0.36821204,0.5014074
7,7,0,500,StandardScaler,3,256,0.5,4096,75,20,0.005,0.72727275,0.26666668,0.46462587,0.4654783
8,8,0,500,StandardScaler,3,256,0.5,4096,75,20,0.001,0.61904764,0.43333334,0.49201292,0.53311914
9,9,1,0,StandardScaler,3,256,0.5,4096,75,20,0.01,0.6923077,0.3,0.5227488,0.45313686
10,10,1,0,StandardScaler,3,256,0.5,4096,75,20,0.005,0.6923077,0.3,0.47394252,0.4635796
11,11,1,0,StandardScaler,3,256,0.5,4096,75,20,0.001,0.5833333,0.23333333,0.5221008,0.376381
12,12,1,100,StandardScaler,3,256,0.5,4096,75,20,0.01,0.73333335,0.36666667,0.5318967,0.5341617
13,13,1,100,StandardScaler,3,256,0.5,4096,75,20,0.005,0.5882353,0.33333334,0.43219888,0.44683367
14,14,1,100,StandardScaler,3,256,0.5,4096,75,20,0.001,0.64705884,0.36666667,0.5428865,0.50173473
15,15,1,500,StandardScaler,3,256,0.5,4096,75,20,0.01,0.44444445,0.13333334,0.3290251,0.2506484
16,16,1,500,StandardScaler,3,256,0.5,4096,75,20,0.005,0.5294118,0.3,0.43797025,0.41014686
17,17,1,500,StandardScaler,3,256,0.5,4096,75,20,0.001,0.5555556,0.5,0.4532933,0.5328926
18,18,2,0,StandardScaler,3,256,0.5,4096,75,20,0.01,0.5294118,0.29032257,0.30791005,0.44590205
19,19,2,0,StandardScaler,3,256,0.5,4096,75,20,0.005,0.46666667,0.22580644,0.23792572,0.36141434
20,20,2,0,StandardScaler,3,256,0.5,4096,75,20,0.001,0.52380955,0.3548387,0.37156552,0.48153427
21,21,2,100,StandardScaler,3,256,0.5,4096,75,20,0.01,0.6,0.19354838,0.32986438,0.37854052
22,22,2,100,StandardScaler,3,256,0.5,4096,75,20,0.005,0.5,0.3548387,0.3363474,0.4645427
23,23,2,100,StandardScaler,3,256,0.5,4096,75,20,0.001,0.54545456,0.38709676,0.40500706,0.5031419
24,24,2,500,StandardScaler,3,256,0.5,4096,75,20,0.01,0.4,0.19354838,0.2882791,0.3473391
25,25,2,500,StandardScaler,3,256,0.5,4096,75,20,0.005,0.47368422,0.29032257,0.32238233,0.4201346
26,26,2,500,StandardScaler,3,256,0.5,4096,75,20,0.001,0.5,0.29032257,0.3958051,0.42584795
27,27,3,0,StandardScaler,3,256,0.5,4096,75,20,0.01,0.64285713,0.3,0.4588887,0.44719452
28,28,3,0,StandardScaler,3,256,0.5,4096,75,20,0.005,0.5555556,0.33333334,0.40444607,0.46674293
29,29,3,0,StandardScaler,3,256,0.5,4096,75,20,0.001,0.75,0.4,0.5504954,0.5650783
30,30,3,100,StandardScaler,3,256,0.5,4096,75,20,0.01,0.7368421,0.46666667,0.5876944,0.57476187
31,31,3,100,StandardScaler,3,256,0.5,4096,75,20,0.005,0.7,0.23333333,0.41320437,0.34845138
32,32,3,100,StandardScaler,3,256,0.5,4096,75,20,0.001,0.75,0.4,0.51001257,0.5650783
33,33,3,500,StandardScaler,3,256,0.5,4096,75,20,0.01,0.7692308,0.33333334,0.49766827,0.5296167
34,34,3,500,StandardScaler,3,256,0.5,4096,75,20,0.005,0.6923077,0.3,0.5277242,0.49124956
35,35,3,500,StandardScaler,3,256,0.5,4096,75,20,0.001,0.875,0.46666667,0.5557309,0.64726937
